Genus,Species,Center Lat,Center Long,C-Square Code,Overall Probability
Cystophora,cristata,63.25,8.75,1600:238:2,0.01
Cystophora,cristata,63.75,8.25,1600:238:3,0.1
Cystophora,cristata,63.75,8.75,1600:238:4,0.01
Cystophora,cristata,63.25,9.25,1600:239:1,0.01
Cystophora,cristata,63.25,9.75,1600:239:2,0.04
Cystophora,cristata,63.75,9.25,1600:239:3,0.12
Cystophora,cristata,63.75,9.75,1600:239:4,0.02
Cystophora,cristata,64.75,8.75,1600:248:4,0.16
Cystophora,cristata,63.25,10.25,1601:130:1,0.05
Cystophora,cristata,63.25,10.75,1601:130:2,0.08
Cystophora,cristata,63.75,10.25,1601:130:3,0.06
Cystophora,cristata,63.75,10.75,1601:130:4,0.06
Cystophora,cristata,63.75,11.25,1601:131:3,0.04
Cystophora,cristata,64.25,10.25,1601:140:1,0.14
Cystophora,cristata,64.25,10.75,1601:140:2,0.04
Cystophora,cristata,64.75,10.75,1601:140:4,0.11
Cystophora,cristata,64.25,11.25,1601:141:1,0.04
Cystophora,cristata,64.75,11.25,1601:141:3,0.01
Cystophora,cristata,65.25,11.25,1601:351:1,0.03
Cystophora,cristata,65.25,11.75,1601:351:2,0.01
Cystophora,cristata,65.75,11.25,1601:351:3,0.16
Cystophora,cristata,65.75,11.75,1601:351:4,0.04
Cystophora,cristata,66.25,12.25,1601:362:1,0.06
Cystophora,cristata,66.25,12.75,1601:362:2,0.01
Cystophora,cristata,66.75,12.25,1601:362:3,0.16
Cystophora,cristata,66.75,12.75,1601:362:4,0.06
Cystophora,cristata,66.25,13.25,1601:363:1,0.01
Cystophora,cristata,66.75,13.25,1601:363:3,0.01
Cystophora,cristata,67.25,10.75,1601:370:2,0.19
Cystophora,cristata,67.75,10.75,1601:370:4,0.19
Cystophora,cristata,67.25,11.25,1601:371:1,0.18
Cystophora,cristata,67.25,11.75,1601:371:2,0.18
Cystophora,cristata,67.75,11.25,1601:371:3,0.18
Cystophora,cristata,67.75,11.75,1601:371:4,0.15
Cystophora,cristata,67.75,12.25,1601:372:3,0.12
Cystophora,cristata,67.75,12.75,1601:372:4,0.11
Cystophora,cristata,67.25,13.75,1601:373:2,0.16
Cystophora,cristata,67.75,13.25,1601:373:3,0.18
Cystophora,cristata,67.25,14.25,1601:374:1,0.05
Cystophora,cristata,67.25,14.75,1601:374:2,0.03
Cystophora,cristata,67.75,14.75,1601:374:4,0.07
Cystophora,cristata,68.25,11.75,1601:381:2,0.17
Cystophora,cristata,68.25,12.25,1601:382:1,0.18
Cystophora,cristata,68.25,12.75,1601:382:2,0.14
Cystophora,cristata,68.25,13.25,1601:383:1,0.13
Cystophora,cristata,68.25,13.75,1601:383:2,0.1
Cystophora,cristata,68.75,13.75,1601:383:4,0.12
Cystophora,cristata,68.25,14.25,1601:384:1,0.1
Cystophora,cristata,68.75,14.25,1601:384:3,0.14
Cystophora,cristata,68.75,14.75,1601:384:4,0.07
Cystophora,cristata,67.25,15.25,1601:475:1,0.01
Cystophora,cristata,67.75,15.25,1601:475:3,0.01
Cystophora,cristata,67.75,15.75,1601:475:4,0.01
Cystophora,cristata,68.25,15.25,1601:485:1,0.14
Cystophora,cristata,68.25,15.75,1601:485:2,0.1
Cystophora,cristata,68.75,15.25,1601:485:3,0.02
Cystophora,cristata,68.75,15.75,1601:485:4,0.02
Cystophora,cristata,68.25,16.25,1601:486:1,0.01
Cystophora,cristata,68.25,16.75,1601:486:2,0.02
Cystophora,cristata,68.75,16.25,1601:486:3,0.05
Cystophora,cristata,68.75,16.75,1601:486:4,0.02
Cystophora,cristata,68.25,17.25,1601:487:1,0.04
Cystophora,cristata,68.75,17.25,1601:487:3,0.02
Cystophora,cristata,69.25,16.75,1601:496:2,0.13
Cystophora,cristata,69.25,17.25,1601:497:1,0.01
Cystophora,cristata,69.25,17.75,1601:497:2,0.01
Cystophora,cristata,69.75,17.25,1601:497:3,0.15
Cystophora,cristata,69.75,17.75,1601:497:4,0.16
Cystophora,cristata,69.25,18.25,1601:498:1,0.01
Cystophora,cristata,69.25,18.75,1601:498:2,0.01
Cystophora,cristata,69.75,18.25,1601:498:3,0.06
Cystophora,cristata,69.75,18.75,1601:498:4,0.01
Cystophora,cristata,69.25,19.25,1601:499:1,0.01
Cystophora,cristata,69.75,19.25,1601:499:3,0.01
Cystophora,cristata,69.75,19.75,1601:499:4,0.05
Cystophora,cristata,69.25,20.25,1602:390:1,0.03
Cystophora,cristata,69.75,20.25,1602:390:3,0.04
Cystophora,cristata,69.75,20.75,1602:390:4,0.02
Cystophora,cristata,69.75,21.25,1602:391:3,0.01
Cystophora,cristata,69.75,21.75,1602:391:4,0.01
Cystophora,cristata,69.75,29.75,1602:499:4,0.12
Cystophora,cristata,63.75,37.25,1603:237:3,0.01
Cystophora,cristata,63.75,37.75,1603:237:4,0.01
Cystophora,cristata,63.75,38.25,1603:238:3,0.01
Cystophora,cristata,64.75,36.25,1603:246:3,0.01
Cystophora,cristata,64.75,37.75,1603:247:4,0.02
Cystophora,cristata,64.25,38.25,1603:248:1,0.01
Cystophora,cristata,64.75,38.25,1603:248:3,0.02
Cystophora,cristata,64.75,38.75,1603:248:4,0.04
Cystophora,cristata,64.75,39.25,1603:249:3,0.03
Cystophora,cristata,64.75,39.75,1603:249:4,0.03
Cystophora,cristata,65.75,34.75,1603:354:4,0.02
