Genus,Species,Center Lat,Center Long,C-Square Code,Overall Probability
Pagophilus,groenlandicus,69.25,32.75,1603:392:2,0.02
Pagophilus,groenlandicus,66.75,35.25,1603:465:3,0.13
Pagophilus,groenlandicus,66.25,38.75,1603:468:2,0.19
Pagophilus,groenlandicus,64.75,40.25,1604:140:3,0.01
Pagophilus,groenlandicus,65.25,40.25,1604:350:1,0.1
Pagophilus,groenlandicus,65.75,40.75,1604:350:4,0.16
Pagophilus,groenlandicus,66.25,42.25,1604:362:1,0.05
Pagophilus,groenlandicus,66.25,42.75,1604:362:2,0.06
Pagophilus,groenlandicus,66.75,42.75,1604:362:4,0.12
Pagophilus,groenlandicus,66.25,43.25,1604:363:1,0.09
Pagophilus,groenlandicus,66.25,43.75,1604:363:2,0.09
Pagophilus,groenlandicus,66.75,43.25,1604:363:3,0.09
Pagophilus,groenlandicus,66.75,43.75,1604:363:4,0.11
Pagophilus,groenlandicus,66.25,44.25,1604:364:1,0.08
Pagophilus,groenlandicus,66.75,44.25,1604:364:3,0.11
Pagophilus,groenlandicus,67.25,42.75,1604:372:2,0.19
Pagophilus,groenlandicus,67.25,43.25,1604:373:1,0.13
Pagophilus,groenlandicus,67.25,43.75,1604:373:2,0.08
Pagophilus,groenlandicus,67.75,43.25,1604:373:3,0.16
Pagophilus,groenlandicus,67.75,43.75,1604:373:4,0.13
Pagophilus,groenlandicus,67.25,44.25,1604:374:1,0.07
Pagophilus,groenlandicus,67.25,44.75,1604:374:2,0.01
Pagophilus,groenlandicus,67.75,44.25,1604:374:3,0.06
Pagophilus,groenlandicus,68.25,44.25,1604:384:1,0.06
Pagophilus,groenlandicus,66.75,45.75,1604:465:4,0.05
Pagophilus,groenlandicus,66.75,46.25,1604:466:3,0.05
Pagophilus,groenlandicus,66.75,46.75,1604:466:4,0.05
Pagophilus,groenlandicus,66.75,47.25,1604:467:3,0.04
Pagophilus,groenlandicus,66.75,47.75,1604:467:4,0.04
Pagophilus,groenlandicus,67.25,45.25,1604:475:1,0.06
Pagophilus,groenlandicus,67.25,45.75,1604:475:2,0.05
Pagophilus,groenlandicus,67.75,45.25,1604:475:3,0.06
Pagophilus,groenlandicus,67.75,45.75,1604:475:4,0.07
Pagophilus,groenlandicus,67.25,46.25,1604:476:1,0.06
Pagophilus,groenlandicus,67.25,46.75,1604:476:2,0.08
Pagophilus,groenlandicus,67.75,46.25,1604:476:3,0.09
