"Internal_reference","Survey","Polygon","Commonname","Validname","Family","Class","Order","RES","Type","Partial_cell_area","Density","Uncertainty","Uncertainty_measure","CI_95_low","CI_95_high","Location","Study_area"
"007_Doniol-Valcroze et al (2020)_HACS","East Baffin Island","EB Island","Bowhead whale","Balaena mysticetus","Balaenidae","Mammalia","Cetartiodactyla",0.66,"Native Range",244.694245327087,0.0211888804440452,0.72,"CV abundance",0.00534328289458532,0.0839494230636357,"Northwest Atlantic","N"
"007_Doniol-Valcroze et al (2020)_HACS","East Baffin Island","EB Island","Bowhead whale","Balaena mysticetus","Balaenidae","Mammalia","Cetartiodactyla",0.95,"Native Range",843.429834986063,0.0211888804440452,0.72,"CV abundance",0.00534328289458532,0.0839494230636357,"Northwest Atlantic","N"
"007_Doniol-Valcroze et al (2020)_HACS","East Baffin Island","EB Island","Bowhead whale","Balaena mysticetus","Balaenidae","Mammalia","Cetartiodactyla",0.93,"Native Range",214.640872482886,0.0211888804440452,0.72,"CV abundance",0.00534328289458532,0.0839494230636357,"Northwest Atlantic","N"
"007_Doniol-Valcroze et al (2020)_HACS","East Baffin Island","EB Island","Bowhead whale","Balaena mysticetus","Balaenidae","Mammalia","Cetartiodactyla",0.82,"Native Range",755.017155450745,0.0211888804440452,0.72,"CV abundance",0.00534328289458532,0.0839494230636357,"Northwest Atlantic","N"
"007_Doniol-Valcroze et al (2020)_HACS","East Baffin Island","EB Island","Bowhead whale","Balaena mysticetus","Balaenidae","Mammalia","Cetartiodactyla",0.97,"Native Range",538.183271723199,0.0211888804440452,0.72,"CV abundance",0.00534328289458532,0.0839494230636357,"Northwest Atlantic","N"
"007_Doniol-Valcroze et al (2020)_HACS","East Baffin Island","EB Island","Bowhead whale","Balaena mysticetus","Balaenidae","Mammalia","Cetartiodactyla",0.74,"Native Range",334.87138734346,0.0211888804440452,0.72,"CV abundance",0.00534328289458532,0.0839494230636357,"Northwest Atlantic","N"
"007_Doniol-Valcroze et al (2020)_HACS","East Baffin Island","EB Island","Bowhead whale","Balaena mysticetus","Balaenidae","Mammalia","Cetartiodactyla",1,"Native Range",502.264963271714,0.0211888804440452,0.72,"CV abundance",0.00534328289458532,0.0839494230636357,"Northwest Atlantic","N"
"007_Doniol-Valcroze et al (2020)_HACS","East Baffin Island","EB Island","Bowhead whale","Balaena mysticetus","Balaenidae","Mammalia","Cetartiodactyla",0.96,"Native Range",140.941572906709,0.0211888804440452,0.72,"CV abundance",0.00534328289458532,0.0839494230636357,"Northwest Atlantic","N"
"007_Doniol-Valcroze et al (2020)_HACS","East Baffin Island","EB Island","Bowhead whale","Balaena mysticetus","Balaenidae","Mammalia","Cetartiodactyla",0.8,"Native Range",199.616507651144,0.0211888804440452,0.72,"CV abundance",0.00534328289458532,0.0839494230636357,"Northwest Atlantic","N"
"007_Doniol-Valcroze et al (2020)_HACS","East Baffin Island","EB Island","Bowhead whale","Balaena mysticetus","Balaenidae","Mammalia","Cetartiodactyla",0.7,"Native Range",127.130227672974,0.0211888804440452,0.72,"CV abundance",0.00534328289458532,0.0839494230636357,"Northwest Atlantic","N"
