Commonname,Validname,Family,Class,Order,CenterLat,CenterLong,RES,Study_area
Bowhead whale,Balaena mysticetus,Balaenidae,Mammalia,Cetartiodactyla,44.750000000000000,142.750000000000000,0.540000000000000,N
Bowhead whale,Balaena mysticetus,Balaenidae,Mammalia,Cetartiodactyla,44.250000000000000,143.250000000000000,0.500000000000000,N
Bowhead whale,Balaena mysticetus,Balaenidae,Mammalia,Cetartiodactyla,44.250000000000000,143.750000000000000,0.550000000000000,N
Bowhead whale,Balaena mysticetus,Balaenidae,Mammalia,Cetartiodactyla,44.750000000000000,143.250000000000000,0.580000000000000,N
Bowhead whale,Balaena mysticetus,Balaenidae,Mammalia,Cetartiodactyla,44.750000000000000,143.750000000000000,0.610000000000000,N
Bowhead whale,Balaena mysticetus,Balaenidae,Mammalia,Cetartiodactyla,44.250000000000000,144.250000000000000,0.590000000000000,N
Bowhead whale,Balaena mysticetus,Balaenidae,Mammalia,Cetartiodactyla,44.250000000000000,144.750000000000000,0.530000000000000,N
Bowhead whale,Balaena mysticetus,Balaenidae,Mammalia,Cetartiodactyla,44.750000000000000,144.250000000000000,0.650000000000000,N
Bowhead whale,Balaena mysticetus,Balaenidae,Mammalia,Cetartiodactyla,44.750000000000000,144.750000000000000,0.510000000000000,N
Bowhead whale,Balaena mysticetus,Balaenidae,Mammalia,Cetartiodactyla,40.750000000000000,146.250000000000000,0.010000000000000,N
Bowhead whale,Balaena mysticetus,Balaenidae,Mammalia,Cetartiodactyla,40.750000000000000,146.750000000000000,0.020000000000000,N
Bowhead whale,Balaena mysticetus,Balaenidae,Mammalia,Cetartiodactyla,40.750000000000000,147.250000000000000,0.010000000000000,N
Bowhead whale,Balaena mysticetus,Balaenidae,Mammalia,Cetartiodactyla,40.750000000000000,147.750000000000000,0.010000000000000,N
Bowhead whale,Balaena mysticetus,Balaenidae,Mammalia,Cetartiodactyla,40.750000000000000,148.250000000000000,0.010000000000000,N
Bowhead whale,Balaena mysticetus,Balaenidae,Mammalia,Cetartiodactyla,41.750000000000000,145.250000000000000,0.030000000000000,N
Bowhead whale,Balaena mysticetus,Balaenidae,Mammalia,Cetartiodactyla,41.250000000000000,146.250000000000000,0.020000000000000,N
Bowhead whale,Balaena mysticetus,Balaenidae,Mammalia,Cetartiodactyla,41.250000000000000,146.750000000000000,0.010000000000000,N
Bowhead whale,Balaena mysticetus,Balaenidae,Mammalia,Cetartiodactyla,41.250000000000000,147.250000000000000,0.020000000000000,N
Bowhead whale,Balaena mysticetus,Balaenidae,Mammalia,Cetartiodactyla,41.250000000000000,147.750000000000000,0.030000000000000,N
